kategori,urun_adi,miktar,fiyat,market_adi,resim_linki
Mantı Makarna ve Erişte,Makarna Burgu 500 Gr Pasta Veneta,500 G,"21,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/260x260/mutlu-350-gr-sebzeli-makarna-_1444938.jpg
Mantı Makarna ve Erişte,Makarna Kalem 500 Gr Pasta Veneta,500 G,"21,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_222296.jpg
Mantı Makarna ve Erişte,Makarna Rigatoni 500 Gr Pasta Veneta,500 G,"21,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_888875.jpg
Mantı Makarna ve Erişte,Makarna Yassı Spagetti Vitaminli 500 Gr Nuh'un Ankara,500 G,"24,75",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/HAs94ou3bX_500x500.png
Mantı Makarna ve Erişte,Makarna Kalem 500 Gr Selva,500 G,"13,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1925972.jpg
Mantı Makarna ve Erişte,Makarna Fiyonk 500 Gr Selva,500 G,"13,50",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/6WUDABsdYt_500x500.png
Mantı Makarna ve Erişte,Makarna Burgu 500 Gr Selva,500 G,"13,50",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/YoqDyTlxpl_500x500.png
Mantı Makarna ve Erişte,Noodle Paket Körili 75 Gr Supermı,75 G,"5,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_267233.jpg
Mantı Makarna ve Erişte,Migros Hızlı Dondurulmuş Mantı 450 Gr,450 G,"32,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_267218.jpg
Mantı Makarna ve Erişte,Mantı Çorum 1000 Gr Kemal Öz+1 Market,1000 G,"29,75",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_474349.jpg
Mantı Makarna ve Erişte,Dondurulmuş Bohça Mantı 1 Kg Superfresh,1 Kg,"109,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1981159.jpg
Mantı Makarna ve Erişte,Mutlu Sebzeli Burgu Makarna 350 Gr,350 G,"28,75",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1040146.jpg
Mantı Makarna ve Erişte,Indomie Jumbo Tavuk Aromalı Hazır Noodle,,"21,75",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1431626.jpg
Mantı Makarna ve Erişte,Tortelloni Tricolore 300 Gr Un Do Tre,300 G,"99,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_95437.jpg
Ketçap Mayonez Sos ve Sirkeler,Sos Acı 330 Gr Çokça,330 G,"34,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1441805.jpg
Ketçap Mayonez Sos ve Sirkeler,%100 Limon Suyu 250 Ml Muhler,250 Ml,"24,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_84251.jpg
Ketçap Mayonez Sos ve Sirkeler,Ketçap 600g &mayonez 540g 2 Li Set Tamek,600g,"87,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1439127.jpg
Ketçap Mayonez Sos ve Sirkeler,Sirke Üzüm 5 Lt Torku,5 Lt,"135,00",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/6WUDABsdYt_500x500.png
Ketçap Mayonez Sos ve Sirkeler,Temizleyici Sirke 2 Lt Nevbağ,2 Lt,"27,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_888875.jpg
Ketçap Mayonez Sos ve Sirkeler,Sos Sweet Chılı 300 Gr Seres,300 G,"69,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_222296.jpg
Ketçap Mayonez Sos ve Sirkeler,Tukaş Ranch Sos 335 Gr+1 Market,335 G,"32,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_344513.jpg
Ketçap Mayonez Sos ve Sirkeler,Sos Burger 310 Gr Çokça,310 G,"54,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1925972.jpg
Ketçap Mayonez Sos ve Sirkeler,Sos Sarımsaklı Mayonez & Paprika 290 / 330 Gr Burcu,330 G,"39,90",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/HAs94ou3bX_500x500.png
Ketçap Mayonez Sos ve Sirkeler,Sos Sarımsaklı Mayonez 310 Gr Çokça,310 G,"34,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_267233.jpg
Ketçap Mayonez Sos ve Sirkeler,Sos Hardal 320 Gr Çokça,320 G,"54,90",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/YoqDyTlxpl_500x500.png
Ketçap Mayonez Sos ve Sirkeler,Sos Limon Suyu %100 500 Ml Doğanay,500 Ml,"59,90",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/1jZxxMF-Gh_500x500.png
Ketçap Mayonez Sos ve Sirkeler,Sos Soya 250 Ml Galle,250 Ml,"49,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_267218.jpg
Ketçap Mayonez Sos ve Sirkeler,Tamek Kahvaltılık Sos Acılı 300 Gr,300 G,"64,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_474349.jpg
Ketçap Mayonez Sos ve Sirkeler,Sos Makarna Trüf&bolonez 52/45 Gr Knorr,45 G,"39,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1433227.jpg
